名称,rm型片式厚膜固定电阻器,型号,(J)CL21-160V-0.22μF-K,分类,电容器,生产厂家,成都宏明电子股份有限公司,厂商地域,四川成都,质量等级,J,温度范围,-55～85℃,封装形式,流化包封,额定电压,160V	,标称容量,0.22μF,标称阻值,1.33mΩ	,阻值允许偏差,±1% 
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh6332mb1371bmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,1.37kΩ	,阻值允许偏差,±0.1%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh2012kb1403dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.25×0.5,标称阻值,140kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh3216kb1403dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±100ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,140kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh3216mb1403dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±300ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,140kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh5025kb1403bmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd2010,额定功耗,0.5W	,封装尺寸,5.2×2.5×0.55,标称阻值,140kΩ	,阻值允许偏差,±0.1%
名称,rmk型可靠性增长片式厚膜固定电阻器,型号,rmk2012kb1403fp,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.27×0.6,标称阻值,140kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk2012kb1403fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.27×0.6,标称阻值,140kΩ	,阻值允许偏差,±1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-93r1-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,93.1	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-86r6-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,86.6	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-84r5-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,84.5	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-83r5-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,83.5	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-76r8-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,76.8	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-73r2-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,73.2	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-69r8-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,封装形式,smd0805,温度范围,-65～150℃,温度特性,±10ppm/℃	,额定功耗,0.15W	,标称阻值,69.8	Ω,封装尺寸,2.03×1.27,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-68r1-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,封装形式,smd0805,温度范围,-65～150℃,温度特性,±10ppm/℃	,额定功耗,0.15W	,标称阻值,68.1	Ω,封装尺寸,2.03×1.27,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-61r9-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,61.9	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-60r4-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,60.4	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-49r3-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,49.3	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-45r3-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,45.3	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-44r8-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,44.8	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-40r7-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,40.7	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-40r2-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,40.2	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-39r2-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,39.2	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-38r3-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,38.3	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-36r5-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,36.5	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-35r7-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,35.7	Ω,阻值允许偏差,±0.1%
名称,rmk型有失效率等级的片式薄膜固定电阻器,型号,rmk2012-y-b-30r5-b,分类,氧化膜电阻器,生产厂家,北京七一八友晟电子有限公司,厂商地域,北京,质量等级,qjb,温度范围,-65～150℃,温度特性,±10ppm/℃	,封装形式,smd0805,额定功耗,0.15W	,封装尺寸,2.03×1.27,标称阻值,30.5	Ω,阻值允许偏差,±0.1%
名称,rmk型可靠性增长片式厚膜固定电阻器,型号,rmk5025mb1431fp,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±300ppm/℃	,封装形式,smd2010,额定功耗,0.6W	,封装尺寸,5.0×2.5×0.6,标称阻值,1.43kΩ	,阻值允许偏差,±1%
名称,rmk3263型3w片式厚膜固定电阻器,型号,rmk3263kb1432jm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd,额定功耗,3W	,封装尺寸,3.2×6.3×0.55,标称阻值,14.3kΩ	,阻值允许偏差,±5%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk1005mb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±300ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk2012kb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.25×0.5,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk6332kb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±100ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm2012mb1432ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.25×0.5,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm3216mb1432ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh1005kb1432dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,14.3kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh1005mb1432dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,14.3kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh3216mb1432dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±300ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,14.3kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh6332mb1432bmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,14.3kΩ	,阻值允许偏差,±0.1%
名称,rmk型可靠性增长片式厚膜固定电阻器,型号,rmk3216kb1432fp,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±100ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk2012kb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.27×0.6,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk2012mb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±300ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.27×0.6,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk5025kb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±100ppm/℃	,封装形式,smd2010,额定功耗,0.8W	,封装尺寸,5.0×2.5×0.6,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk5025mb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±300ppm/℃	,封装形式,smd2010,额定功耗,0.8W	,封装尺寸,5.0×2.5×0.6,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk6332mb1432fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±300ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.6,标称阻值,14.3kΩ	,阻值允许偏差,±1%
名称,rmk3263型3w片式厚膜固定电阻器,型号,rmk3263mb1433jm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd,额定功耗,3W	,封装尺寸,3.2×6.3×0.55,标称阻值,143kΩ	,阻值允许偏差,±5%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk1005kb1433fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±100ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm2012mb1433ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.25×0.5,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm3216kb1433ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm5025mb1433ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2010,额定功耗,0.5W	,封装尺寸,5.2×2.5×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm6332kb1433ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj2012k1433f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.125W	,封装尺寸,2.0×1.25×0.5,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj3216k1433f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj3216m1433f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj3225m1433f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd1210,额定功耗,0.25W	,封装尺寸,3.2×2.5×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj5225m1433f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2010,额定功耗,0.5W	,封装尺寸,5.0×2.5×0.55,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh3225kb1433dmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd1210,额定功耗,0.25W	,封装尺寸,3.2×2.5×0.55,标称阻值,143kΩ	,阻值允许偏差,±0.5%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh5025mb1433bmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2010,额定功耗,0.5W	,封装尺寸,5.2×2.5×0.55,标称阻值,143kΩ	,阻值允许偏差,±0.1%
名称,rmk型可靠性增长片式厚膜固定电阻器,型号,rmk1005kb1433fp,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±100ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,143kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj3216k1434f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,1.43mΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj3225k1434f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd1210,额定功耗,0.25W	,封装尺寸,3.2×2.5×0.55,标称阻值,1.43mΩ	,阻值允许偏差,±1%
