名称,射频同轴插座,型号,tnc-50kyfd2,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～105℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴转接器,型号,tnc-75kfkg,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～105℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴转接器,型号,tnc-75kfkg,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～105℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j051,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j051,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j13,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j13,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j142-1,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j142-1,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,gjb,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j27a,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,gjb,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j27g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j27g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～165℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j3,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	,封装尺寸,34×φ16
名称,射频同轴插头,型号,tnc-j300y,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j301,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j301g-3,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,温度范围,-65～165℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j301s,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j301s-1,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j301sa,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j301-t,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j302,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j303,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j/k,温度范围,-65～105℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j304,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j311g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,温度范围,-65～165℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j32y,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j3449g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j393g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,温度范围,-65～165℃,	类型,tnc,封装形式,不锈钢钝化,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j3a,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	,封装尺寸,24.7×φ16
名称,射频同轴插头,型号,tnc-j3y,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	,封装尺寸,38×φ15.5
名称,射频同轴插头,型号,tnc-j4,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	,封装尺寸,30×φ16
名称,射频同轴插头,型号,tnc-j401g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,gjb,封装形式,不锈钢钝化,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j401g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,封装形式,不锈钢钝化,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j402,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,j,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j402g,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,gjb,封装形式,不锈钢钝化,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j4-3,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j4-3,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,gjb,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j4a,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,cast c,封装形式,铜镀镍,温度范围,-65～165℃,	类型,tnc,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j4a,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,g/g+,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,射频同轴插头,型号,tnc-j4a-2,分类,射频同轴电连接器,生产厂家,陕西华达科技股份有限公司,厂商地域,陕西西安,质量等级,gjb,温度范围,-65～165℃,	类型,tnc,封装形式,铜镀镍,频率范围,11GHz	
名称,螺纹式射频同轴电连接器,型号,n-jw15a,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,	类型,n			,	特性阻抗,50Ω,封装形式,金属封装,频率范围,11GHz	
名称,螺纹式射频同轴电连接器,型号,n-jw16a,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,	类型,n			,	特性阻抗,50Ω,封装形式,金属封装,频率范围,11GHz	
名称,螺纹式射频同轴电连接器,型号,n-jw28a,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,	类型,n			,	特性阻抗,50Ω,封装形式,金属封装,频率范围,11GHz	
名称,螺纹式射频同轴电连接器,型号,n-jw28y,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,封装形式,金属封装,	类型,n			,	特性阻抗,50Ω,频率范围,11GHz	
名称,螺纹式射频同轴电连接器,型号,n-50jfd4,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,封装形式,金属封装,	类型,n			,	特性阻抗,50Ω,频率范围,11GHz	
名称,转接器,型号,n-50jk,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,封装形式,金属封装,	类型,n			,	特性阻抗,50Ω,频率范围,11GHz	
名称,螺纹式射频同轴电连接器,型号,n-50kfd12,分类,射频同轴电连接器,生产厂家,郑州航天电子技术有限公司,厂商地域,河南郑州,质量等级,pj,封装形式,金属封装,	类型,n			,	特性阻抗,50Ω,频率范围,11GHz	
